date,mealType,foodName,kcal,servingUnit,servingAmount,kcalPerServing,quantity,,,,,,,,,,,,,,,,,
2/24/2026,breakfast,1% Milk,,ml,240,120,280,,,,,,,,,,,,,,,,,
2/24/2026,breakfast,Trader Joe‘s  Waffle,,Piece,2,250,1,,,,,,,,,,,,,,,,,
2/24/2026,lunch,Kefir Yogurt,,ml,240,110,110,,,,,,,,,,,,,,,,,
2/24/2026,lunch,Mango,,g,100,60,100,,,,,,,,,,,,,,,,,
2/24/2026,lunch,Egg,,Piece,1,71,1,,,,,,,,,,,,,,,,,
2/24/2026,lunch,坚果,,g,32,170,10,,,,,,,,,,,,,,,,,
2/24/2026,dinner,杏鲍菇,,g,100,35,150,,,,,,,,,,,,,,,,,
2/24/2026,dinner,Egg,,Piece,1,71,1,,,,,,,,,,,,,,,,,
2/24/2026,dinner,海鲈鱼,100,,,,,,,,,,,,,,,,,,,,,
2/24/2026,dinner,Avacado Oil,,g,14,130,10,,,,,,,,,,,,,,,,,
2/24/2026,dinner,杂粮饭,,g,100,362,40,,,,,,,,,,,,,,,,,
2/24/2026,dinner,Blueberry,,g,100,57,100,,,,,,,,,,,,,,,,,
2/24/2026,snack,AD钙奶,,Bottle,1,80,1,,,,,,,,,,,,,,,,,
2/24/2026,snack,呀Potato,250,,,,,,,,,,,,,,,,,,,,,
2/25/2026,breakfast,1% Milk,,ml,240,120,280,,,,,,,,,,,,,,,,,
2/25/2026,breakfast,Trader Joe‘s  Waffle,,Piece,2,250,1,,,,,,,,,,,,,,,,,
2/25/2026,lunch,Ciabatta,,g,57,110,62,,,,,,,,,,,,,,,,,
2/25/2026,lunch,Olive Oil,,g,15,124,5,,,,,,,,,,,,,,,,,
2/25/2026,lunch,Breakfast Chicken Sausage,,Piece,3,80,3,,,,,,,,,,,,,,,,,
2/25/2026,snack,椰枣,40,,,,,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Flour,,g,30,110,42,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Tofu (Firm),,g,85,80,150,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Pork Shoulder Butt,,g,100,250,60,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Avacado Oil,,g,14,130,5,,,,,,,,,,,,,,,,,
2/25/2026,dinner,白菜,,g,100,17,250,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Mushroom,,g,100,22,80,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Coconut Water,,Bottle,1,110,0.5,,,,,,,,,,,,,,,,,
2/25/2026,dinner,零食,54,,,,,,,,,,,,,,,,,,,,,
2/26/2026,breakfast,1% Milk,,ml,240,120,285,,,,,,,,,,,,,,,,,
2/26/2026,breakfast,Thin-sliced Bread,,Piece,1,60,0.7,,,,,,,,,,,,,,,,,
2/26/2026,breakfast,Trader Joe‘s Peanut Butter,,g,32,190,10,,,,,,,,,,,,,,,,,
2/26/2026,lunch,Kefir Yogurt,,ml,240,110,110,,,,,,,,,,,,,,,,,
2/26/2026,lunch,Mango,,g,100,60,100,,,,,,,,,,,,,,,,,
2/26/2026,lunch,Breakfast Chicken Sausage,,Piece,3,80,3,,,,,,,,,,,,,,,,,
2/26/2026,lunch,坚果,,g,32,170,11.4,,,,,,,,,,,,,,,,,
2/26/2026,snack,Trader Joe‘s Brie,,Piece,1,70,1,,,,,,,,,,,,,,,,,
2/26/2026,dinner,杂粮饭,,g,100,362,40,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Egg,,Piece,1,71,2,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Tomato,,g,100,19,150,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Avacado Oil,,g,14,130,10,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Pork Shoulder Butt,,g,100,250,100,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Celery,,g,100,16,150,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Blueberry,,g,100,57,100,,,,,,,,,,,,,,,,,
2/26/2026,snack,椰枣,40,,,,,,,,,,,,,,,,,,,,,
2/26/2026,snack,零食,54,,,,,,,,,,,,,,,,,,,,,
